,0,1
0,2kKL5kk4On8YRSKWDgXWMX,"['Percy Faith', '1960', 'Theme from A Summer Place', {'danceability': 0.466, 'energy': 0.389, 'key': 5, 'loudness': -12.825, 'mode': 1, 'speechiness': 0.0253, 'acousticness': 0.631, 'instrumentalness': 0.843, 'liveness': 0.295, 'valence': 0.749, 'tempo': 92.631, 'type': 'audio_features', 'id': '2kKL5kk4On8YRSKWDgXWMX', 'uri': 'spotify:track:2kKL5kk4On8YRSKWDgXWMX', 'track_href': 'https://api.spotify.com/v1/tracks/2kKL5kk4On8YRSKWDgXWMX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2kKL5kk4On8YRSKWDgXWMX', 'duration_ms': 144893, 'time_signature': 4}]"
1,7DH5dXVuQaqcKf9oTy9oUN,"['Jim Reeves', '1960', ""He'll Have to Go"", {'danceability': 0.554, 'energy': 0.186, 'key': 1, 'loudness': -15.846, 'mode': 1, 'speechiness': 0.0379, 'acousticness': 0.909, 'instrumentalness': 0.00144, 'liveness': 0.11, 'valence': 0.2, 'tempo': 81.181, 'type': 'audio_features', 'id': '7DH5dXVuQaqcKf9oTy9oUN', 'uri': 'spotify:track:7DH5dXVuQaqcKf9oTy9oUN', 'track_href': 'https://api.spotify.com/v1/tracks/7DH5dXVuQaqcKf9oTy9oUN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7DH5dXVuQaqcKf9oTy9oUN', 'duration_ms': 138640, 'time_signature': 3}]"
2,1MA9StLzlFftLbuqOmoWij,"['The Everly Brothers', '1960', ""Cathy's Clown"", {'danceability': 0.498, 'energy': 0.582, 'key': 7, 'loudness': -8.961, 'mode': 1, 'speechiness': 0.0339, 'acousticness': 0.412, 'instrumentalness': 0, 'liveness': 0.372, 'valence': 0.866, 'tempo': 119.809, 'type': 'audio_features', 'id': '1MA9StLzlFftLbuqOmoWij', 'uri': 'spotify:track:1MA9StLzlFftLbuqOmoWij', 'track_href': 'https://api.spotify.com/v1/tracks/1MA9StLzlFftLbuqOmoWij', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1MA9StLzlFftLbuqOmoWij', 'duration_ms': 144013, 'time_signature': 4}]"
3,0Tjdbd83LEAWrA0atsXMDJ,"['The Everly Brothers', '1960', 'Let It Be Me', {'danceability': 0.471, 'energy': 0.19, 'key': 7, 'loudness': -16.046, 'mode': 1, 'speechiness': 0.028, 'acousticness': 0.77, 'instrumentalness': 0.00385, 'liveness': 0.129, 'valence': 0.305, 'tempo': 72.764, 'type': 'audio_features', 'id': '0Tjdbd83LEAWrA0atsXMDJ', 'uri': 'spotify:track:0Tjdbd83LEAWrA0atsXMDJ', 'track_href': 'https://api.spotify.com/v1/tracks/0Tjdbd83LEAWrA0atsXMDJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0Tjdbd83LEAWrA0atsXMDJ', 'duration_ms': 146733, 'time_signature': 4}]"
4,1Eo6eH8Yppywb6nkWDhB1b,"['The Everly Brothers', '1960', 'So Sad', {'danceability': 0.477, 'energy': 0.196, 'key': 4, 'loudness': -15.689, 'mode': 1, 'speechiness': 0.0299, 'acousticness': 0.655, 'instrumentalness': 0, 'liveness': 0.172, 'valence': 0.405, 'tempo': 102.363, 'type': 'audio_features', 'id': '1Eo6eH8Yppywb6nkWDhB1b', 'uri': 'spotify:track:1Eo6eH8Yppywb6nkWDhB1b', 'track_href': 'https://api.spotify.com/v1/tracks/1Eo6eH8Yppywb6nkWDhB1b', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1Eo6eH8Yppywb6nkWDhB1b', 'duration_ms': 156573, 'time_signature': 4}]"
5,72gBroI0Kn3t14N3jFomZl,"['The Everly Brothers', '1960', 'When Will I Be Loved', {'danceability': 0.58, 'energy': 0.487, 'key': 11, 'loudness': -9.866, 'mode': 1, 'speechiness': 0.03, 'acousticness': 0.0928, 'instrumentalness': 0, 'liveness': 0.222, 'valence': 0.886, 'tempo': 118.458, 'type': 'audio_features', 'id': '72gBroI0Kn3t14N3jFomZl', 'uri': 'spotify:track:72gBroI0Kn3t14N3jFomZl', 'track_href': 'https://api.spotify.com/v1/tracks/72gBroI0Kn3t14N3jFomZl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/72gBroI0Kn3t14N3jFomZl', 'duration_ms': 125973, 'time_signature': 4}]"
6,3NUXLtK8UGdD8TvZ12b4dD,"['The Everly Brothers', '1961', 'Walk Right Back', {'danceability': 0.624, 'energy': 0.358, 'key': 1, 'loudness': -13.199, 'mode': 1, 'speechiness': 0.0342, 'acousticness': 0.752, 'instrumentalness': 0, 'liveness': 0.0593, 'valence': 0.871, 'tempo': 135.797, 'type': 'audio_features', 'id': '3NUXLtK8UGdD8TvZ12b4dD', 'uri': 'spotify:track:3NUXLtK8UGdD8TvZ12b4dD', 'track_href': 'https://api.spotify.com/v1/tracks/3NUXLtK8UGdD8TvZ12b4dD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3NUXLtK8UGdD8TvZ12b4dD', 'duration_ms': 139640, 'time_signature': 4}]"
7,3lWuagNhAzcqOikD5KnBku,"['The Everly Brothers', '1962', 'Crying in the Rain', {'danceability': 0.61, 'energy': 0.378, 'key': 2, 'loudness': -9.381, 'mode': 1, 'speechiness': 0.0279, 'acousticness': 0.622, 'instrumentalness': 0, 'liveness': 0.144, 'valence': 0.48, 'tempo': 97.166, 'type': 'audio_features', 'id': '3lWuagNhAzcqOikD5KnBku', 'uri': 'spotify:track:3lWuagNhAzcqOikD5KnBku', 'track_href': 'https://api.spotify.com/v1/tracks/3lWuagNhAzcqOikD5KnBku', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3lWuagNhAzcqOikD5KnBku', 'duration_ms': 120307, 'time_signature': 4}]"
8,1RYznli2VNO7FCbW1Hq4KM,"['Johnny Preston', '1960', 'Running Bear', {'danceability': 0.772, 'energy': 0.297, 'key': 5, 'loudness': -14.679, 'mode': 0, 'speechiness': 0.053, 'acousticness': 0.854, 'instrumentalness': 7.59e-06, 'liveness': 0.125, 'valence': 0.822, 'tempo': 119.987, 'type': 'audio_features', 'id': '1RYznli2VNO7FCbW1Hq4KM', 'uri': 'spotify:track:1RYznli2VNO7FCbW1Hq4KM', 'track_href': 'https://api.spotify.com/v1/tracks/1RYznli2VNO7FCbW1Hq4KM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1RYznli2VNO7FCbW1Hq4KM', 'duration_ms': 158200, 'time_signature': 4}]"
9,1tS8ZbjupcoB8seWVVfadt,"['Johnny Preston', '1960', 'Cradle of Love', {'danceability': 0.477, 'energy': 0.506, 'key': 6, 'loudness': -11.669, 'mode': 0, 'speechiness': 0.0696, 'acousticness': 0.683, 'instrumentalness': 2.15e-05, 'liveness': 0.0538, 'valence': 0.868, 'tempo': 174.525, 'type': 'audio_features', 'id': '1tS8ZbjupcoB8seWVVfadt', 'uri': 'spotify:track:1tS8ZbjupcoB8seWVVfadt', 'track_href': 'https://api.spotify.com/v1/tracks/1tS8ZbjupcoB8seWVVfadt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1tS8ZbjupcoB8seWVVfadt', 'duration_ms': 140320, 'time_signature': 4}]"
